impl,msg_size,threads,mode,throughput_gbps,latency_us,cycles,l1_miss,llc_miss,ctx_switches,total_bytes,duration_s
A1,64,1,throughput,0.137535,0.000,16331924700,318515732,48051197,145,51575744,3.000001
A1,64,1,latency,0.036276,14.081,7487247101,189261557,14788500,212579,13603584,3.000011
A1,64,2,throughput,0.268093,0.000,31816782345,626081917,93367293,559,100535104,3.000004
A1,64,2,latency,0.070162,14.561,14540759131,369706765,36579228,411260,26310784,3.000009
A1,64,4,throughput,0.516529,0.000,62574726458,1259663595,194610971,340,193698368,3.000002
A1,64,4,latency,0.132454,15.420,29084093321,725363494,82551415,776369,49670592,3.000013
A1,64,8,throughput,1.082740,0.000,120330733092,2741027787,114470129,23061,406031040,3.000027
A1,64,8,latency,0.238631,17.122,58040595092,1405733636,164526692,1398450,89487168,3.000015
A1,256,1,throughput,0.545504,0.000,16308035178,334060104,52301153,51,204564224,3.000001
A1,256,1,latency,0.141996,14.390,7375965176,192977118,19886016,208042,53248512,3.000006
A1,256,2,throughput,1.060301,0.000,31808060373,659538337,102001797,309,397613056,3.000002
A1,256,2,latency,0.270106,15.130,14481730490,374619414,46034792,395928,101290240,3.000011
A1,256,4,throughput,2.321182,0.000,62299436013,1352042741,187464891,962,870444288,3.000004
A1,256,4,latency,0.524155,15.586,28973812680,747946011,89679337,768281,196558848,3.000010
A1,256,8,throughput,4.735251,0.000,112076273206,2750278457,188996336,7170,1777972480,3.003807
A1,256,8,latency,0.904751,18.066,55921383936,1375887815,179384120,1325527,339283200,3.000015
A1,1024,1,throughput,1.931079,0.000,14997738354,353409645,57008716,554,724155392,3.000003
A1,1024,1,latency,0.536444,15.237,7125263268,199605891,25510618,196466,201166848,3.000002
A1,1024,2,throughput,3.948582,0.000,31609605241,737136763,121826933,624,1480719360,3.000003
A1,1024,2,latency,1.042269,15.685,14247114348,393600808,50758617,381861,390852608,3.000012
A1,1024,4,throughput,6.992803,0.000,53302143990,1267570315,199904261,1074,2622304256,3.000004
A1,1024,4,latency,1.993287,16.397,28403511674,774281631,99636067,730364,747487232,3.000018
A1,1024,8,throughput,2.721950,0.000,72631691476,1951462854,223282035,1217,4658050048,13.690334
A1,1024,8,latency,3.553950,18.397,56135625790,1472792641,210934047,1301678,1332738048,3.000016
A1,4096,1,throughput,7.201246,0.000,16190509650,516815924,90446723,78,2700472320,3.000006
A1,4096,1,latency,1.997591,16.370,7276779895,254434125,33922382,182951,749096960,3.000001
A1,4096,2,throughput,11.914114,0.000,26576656007,844675969,148902453,894,4467798016,3.000004
A1,4096,2,latency,3.938455,16.605,14507239947,504406980,67955921,360861,1476927488,3.000014
A1,4096,4,throughput,23.714987,0.000,54232193863,1724437204,296130185,1353,8893132800,3.000004
A1,4096,4,latency,7.485297,17.468,29115967238,997286971,147620663,685671,2806996992,3.000012
A1,4096,8,throughput,36.560559,0.000,74651647994,2640195741,343806598,1812,14442311680,3.160195
A1,4096,8,latency,13.476913,19.408,57201238136,1894160367,270870910,1234059,5053865984,3.000014
A2,64,1,throughput,0.130219,0.000,16191143076,316553329,41960360,273,48832256,3.000003
A2,64,1,latency,0.033074,15.442,7278233232,177626953,18921316,193839,12402816,3.000007
A2,64,2,throughput,0.243355,0.000,31582140660,609696676,83231776,802,91258048,3.000002
A2,64,2,latency,0.066062,15.462,14553588582,356969977,38957945,387284,24773248,3.000013
A2,64,4,throughput,0.457601,0.000,62321794461,1224667743,171407902,1019,171600768,3.000005
A2,64,4,latency,0.124522,16.402,29066425292,699724568,82556797,729994,46696128,3.000013
A2,64,8,throughput,0.855096,0.000,119968643469,2593516873,49041813,23600,320661632,3.000006
A2,64,8,latency,0.224360,18.203,57544205154,1351758004,160480193,1314824,84135488,3.000013
A2,256,1,throughput,0.487463,0.000,16150488664,321089708,44775880,95,182798592,3.000001
A2,256,1,latency,0.133001,15.360,7321745355,180816829,20905739,194882,49875456,3.000004
A2,256,2,throughput,0.941735,0.000,31653203564,624371234,89043638,714,353150976,3.000003
A2,256,2,latency,0.265399,15.395,14682661867,364912806,40427295,388983,99524864,3.000010
A2,256,4,throughput,1.804759,0.000,62302372035,1262044996,172839186,1525,676785664,3.000005
A2,256,4,latency,0.503710,16.219,29203145594,718057290,87114196,738268,188892160,3.000012
A2,256,8,throughput,3.337129,0.000,114994098634,2499355823,144544090,18267,1260417280,3.021561
A2,256,8,latency,0.877512,18.620,56623844804,1342869389,179622048,1285513,329068800,3.000017
A2,1024,1,throughput,1.680788,0.000,15023917521,342592645,55129632,401,630295552,3.000001
A2,1024,1,latency,0.529450,15.433,7327135683,196268019,23753152,193973,198544384,3.000007
A2,1024,2,throughput,3.498537,0.000,31591042478,709582338,116620247,1052,1311951872,3.000001
A2,1024,2,latency,1.054289,15.500,14680316945,395567249,50024207,386307,395359232,3.000007
A2,1024,4,throughput,6.562435,0.000,57796759589,1317430289,216087149,1325,2460915712,3.000003
A2,1024,4,latency,2.000308,16.336,29387691131,778302442,105306976,732891,750118912,3.000013
A2,1024,8,throughput,7.663614,0.000,93233769067,2227196723,243339499,1675,4102989824,4.283086
A2,1024,8,latency,3.479200,18.783,56951869110,1449533529,214114442,1274287,1304705024,3.000011
A2,4096,1,throughput,4.575818,0.000,11010857082,310473132,59978308,238,1715933184,3.000002
A2,4096,1,latency,1.991261,16.416,7410446313,242252286,37759717,182380,746725376,3.000011
A2,4096,2,throughput,11.014566,0.000,27449679300,778002769,151062679,604,4284940288,3.112199
A2,4096,2,latency,3.943504,16.578,14848257292,481008425,79967211,361262,1478819840,3.000012
A2,4096,4,throughput,18.650091,0.000,44160372456,1267347791,249222187,1045,6993797120,3.000006
A2,4096,4,latency,7.567654,17.275,29903839564,956069800,159479790,693192,2837880832,3.000011
A2,4096,8,throughput,28.327916,0.000,71975975660,2107152731,357094389,1596,11401179136,3.219772
A2,4096,8,latency,13.219746,19.778,57490495672,1753963236,295109896,1210418,4957429760,3.000015
A3,64,1,throughput,0.007357,0.000,1942221175,40402657,3892928,62,3209024,3.489338
A3,64,1,latency,0.028434,17.964,8762646114,206106302,27279609,166584,10662848,3.000006
A3,64,2,throughput,0.001645,0.000,556580845,11354933,1333798,34,867392,4.218783
A3,64,2,latency,0.058854,17.357,17771398276,423277749,46445500,344868,22070336,3.000007
A3,64,4,throughput,0.011775,0.000,4223694040,88747192,8754794,151,6949696,4.721508
A3,64,4,latency,0.110741,18.444,35163077380,824989344,94698322,648843,41528064,3.000013
A3,64,8,throughput,0.003917,0.000,1487620068,30513781,3207461,79,2443584,4.990596
A3,64,8,latency,0.193138,21.152,69405127935,1583865986,192803100,1131778,72427264,3.000021
A3,256,1,throughput,0.281844,0.000,16038200507,336993895,32386708,459,105695488,3.000117
A3,256,1,latency,0.118308,17.270,8867749999,213723507,20673664,173305,44365568,3.000010
A3,256,2,throughput,0.401798,0.000,22907933851,484435223,49302816,660,150674688,3.000006
A3,256,2,latency,0.237764,17.185,17816851257,430180455,52166340,348355,89161984,3.000015
A3,256,4,throughput,0.869919,0.000,52273925544,1098516859,122828001,1897,326220288,3.000007
A3,256,4,latency,0.442157,18.477,35311349156,833041685,106374305,647653,165810176,3.000021
A3,256,8,throughput,1.636504,0.000,102908154642,2131195745,185988199,53469,613693184,3.000020
A3,256,8,latency,0.781532,20.907,70247338410,1616947412,217387904,1144716,293075968,3.000016
A3,1024,1,throughput,1.120567,0.000,16030289282,349217108,38985711,262,420212736,3.000001
A3,1024,1,latency,0.468490,17.445,8848214873,218203633,26604753,171445,175684608,3.000016
A3,1024,2,throughput,2.186807,0.000,31624627392,681258842,80411939,360,820054016,3.000006
A3,1024,2,latency,0.909446,17.973,17428312788,426087780,58006014,333003,341045248,3.000026
A3,1024,4,throughput,3.766041,0.000,57929171338,1233239424,156313686,1226,1412269056,3.000008
A3,1024,4,latency,1.751216,18.657,35849139569,868961600,133875869,641304,656903168,3.000900
A3,1024,8,throughput,7.042571,0.000,114064086627,2443480441,241708433,38841,2640971776,3.000009
A3,1024,8,latency,3.122092,20.935,70658855251,1682757429,260752465,1143191,1170792448,3.000020
A3,4096,1,throughput,4.408737,0.000,15994629016,376450708,54817921,78,1653276672,3.000001
A3,4096,1,latency,1.893519,17.264,8987565749,254062047,43965263,173314,710070272,3.000003
A3,4096,2,throughput,8.761928,0.000,31499210762,758321212,118684043,861,3285725184,3.000002
A3,4096,2,latency,3.680692,17.761,17930143978,499116101,87977390,336865,1380265984,3.000014
A3,4096,4,throughput,15.917903,0.000,61925626193,1425512295,227796625,1792,5969227776,3.000007
A3,4096,4,latency,6.884077,18.989,35683501091,967462533,170109455,630296,2581544960,3.000019
A3,4096,8,throughput,27.283369,0.000,113275349809,2596038115,325147902,36413,10231296000,3.000010
A3,4096,8,latency,11.724716,22.300,68159355801,1787961044,346983469,1073473,4396797952,3.000020
